Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Sodium_Na_  Threonine_  Tryptophan  Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  
Bananas, raw               9040        2.45282515  0.000000    0.000000    0.122641    0.560225    0.000000    2.183014    0.002747    0.000000    0.063773    0.001889    0.006377    0.000687    0.001668    0.001226    0.662263    0.024528    0.000687    0.000221    1.569808    0.000000    0.009002    0.213396    0.000000    0.002453    0.012264    
Watermelon, raw            9326        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Lentils, pink or red, raw  16144       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, broilers or frye  5080        0.54357534  0.003348    0.000136    0.054358    0.000000    0.494654    0.652290    0.005708    0.000082    0.000000    0.003120    0.004240    0.005034    0.008752    0.009708    0.125022    0.521832    0.004865    0.001180    0.173944    0.003098    0.002207    0.000000    0.005436    0.000978    0.015220    
Okara                      16130       55.9985602  0.000000    0.000000    44.798848   6.848624    0.000000    42.558906   0.108077    0.000000    0.000000    0.052079    0.727981    0.089038    0.136636    0.118717    14.559626   5.039870    0.073358    0.027999    0.000000    0.000000    0.064398    0.000000    0.000000    0.000000    0.000000    
Chicken, gizzard, all cla  5023        2.70389340  0.000000    0.000243    0.297428    0.000000    6.489344    2.541660    0.014304    0.001622    0.000000    0.000000    0.067327    0.000000    0.000000    0.000000    0.405584    1.865686    0.000000    0.000000    1.730492    0.032717    0.003028    0.100044    0.000000    0.008923    0.000000    
Chicken, liver, all class  5027        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, heart, all class  5025        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, capons, giblets,  5137        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, broilers or frye  5020        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, broilers or frye  5011        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Quinoa, uncooked           20035       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Fish oil, salmon           4593        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Fish oil, cod liver        4589        6.62719506  0.000000    0.000000    0.000000    0.000000    37.775012   59.777299   1.498276    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    6627.19506  0.000000    0.000000    0.000000    662.719506  0.000000    0.000000    
Oil, sunflower, high olei  4584        11.9911447  0.000000    0.000000    0.000000    0.000000    0.000000    106.001720  1.182207    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    4.925962    0.647522    
Oil, mustard               4583        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Apricots, dried, sulfured  9033        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, ground, raw       5332        7.23679044  0.094295    0.004125    0.434207    0.002895    6.223640    10.348610   0.166519    0.004704    0.000000    0.038283    0.059342    0.057460    0.098493    0.109203    1.519726    4.342074    0.052611    0.010638    0.000000    0.040526    0.037052    0.000000    0.000000    0.019539    0.057894    
