Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Sodium_Na_  Threonine_  Tryptophan  Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  
Nuts, pistachio nuts, raw  12151       2.51962841  14.239605   0.000000    1.803825    2.074494    0.000000    5.344666    6.342377    0.000000    6.070014    7.569530    4.459788    9.989476    7.904639    6.198486    5.196733    0.007469    7.078693    10.390362   0.886451    0.000000    17.179284   1.068933    0.000000    3.275517    0.000000    
Peas, green, split, matur  16085       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, oregano, dried     2027        0.75897561  0.000000    2.008482    8.264209    1.585109    0.000000    0.761851    0.501635    0.000000    7.331014    0.641287    12.611515   1.447116    1.157880    0.820360    3.493013    0.056248    1.003793    2.531304    0.880239    0.000000    3.177957    0.132246    0.000000    6.299497    26.809950   
Seeds, pumpkin and squash  12014       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, cinnamon, ground   2010        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Plantains, green, raw      9542        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Garlic, raw                11215       3.05970784  0.000000    0.000000    3.775958    3.065271    0.000000    1.726881    0.116043    0.000000    1.460315    2.028714    2.348662    2.870626    1.843197    1.805716    1.303853    0.154195    1.973059    3.317755    0.018775    0.000000    15.155371   7.232037    0.000000    0.111262    0.295540    
Dates, deglet noor         9087        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Potatoes, raw, skin        11362       53.1856660  0.000000    0.000000    10.878886   20.049384   0.000000    11.684729   0.589273    0.000000    30.219127   0.000000    77.809250   0.000000    0.000000    0.000000    20.851198   1.576650    0.000000    0.000000    0.000000    0.000000    50.981446   45.933074   0.000000    0.000000    0.000000    
Bananas, raw               9040        2.45282515  0.000000    0.000000    0.083619    1.697652    0.000000    0.826899    0.117067    0.000000    1.449397    1.108204    0.287960    0.296935    0.326225    0.265121    1.128857    0.007271    0.282088    0.362685    0.107032    0.000000    3.610375    1.616635    0.000000    0.111492    0.069683    
Watermelon, raw            9326        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Lentils, pink or red, raw  16144       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, broilers or frye  5080        0.54357534  0.134295    0.057909    0.037062    0.000000    1.686319    0.247080    0.243219    0.000082    0.000000    1.830771    0.191446    2.176244    1.711697    2.098689    0.213106    0.154693    1.998220    1.937938    0.011860    0.812512    0.885127    0.000000    0.004633    0.044474    0.086478    
Okara                      16130       55.9985602  0.000000    0.000000    30.544668   20.753405   0.000000    16.120797   4.605563    0.000000    0.000000    30.557811   32.870918   38.495579   26.724394   25.663719   24.817543   1.494033    30.130659   46.001006   0.000000    0.000000    25.828212   0.000000    0.000000    0.000000    0.000000    
Chicken, gizzard, all cla  5023        2.70389340  0.000000    0.103700    0.202792    0.000000    22.122764   0.962750    0.609528    0.001622    0.000000    0.000000    3.040049    0.000000    0.000000    0.000000    0.691336    0.553069    0.000000    0.000000    0.117988    8.579661    1.214583    0.757909    0.000000    0.405584    0.000000    
Chicken, liver, all class  5027        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, heart, all class  5025        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, capons, giblets,  5137        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, broilers or frye  5020        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, broilers or frye  5011        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Quinoa, uncooked           20035       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Fish oil, salmon           4593        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Fish oil, cod liver        4589        6.62719506  0.000000    0.000000    0.000000    0.000000    128.778445  22.642916   63.846998   0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    451.854194  0.000000    0.000000    0.000000    564.817743  0.000000    0.000000    
Oil, sunflower, high olei  4584        11.9911447  0.000000    0.000000    0.000000    0.000000    0.000000    40.152165   50.378136   0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    223.907368  3.679101    
Oil, mustard               4583        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Apricots, dried, sulfured  9033        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, ground, raw       5332        7.23679044  3.781900    1.757800    0.296051    0.008772    21.216953   3.919928    7.095961    0.004704    0.000000    22.462811   2.679486    24.842962   19.263948   23.607071   2.590442    1.287176    21.609309   17.477681   0.000000    10.627454   14.860575   0.000000    0.000000    0.888152    0.328945    
Apricots, raw              9021        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Java-plum, (jambolan), ra  9145        5.31919683  0.000000    0.000000    0.689078    2.508082    0.000000    1.208908    0.000000    0.000000    0.000000    0.000000    0.456343    0.000000    0.000000    0.000000    1.360022    0.220757    0.000000    0.000000    0.010880    0.000000    0.810680    5.762463    0.000000    0.000000    0.000000    
Couscous, dry              20028       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Guavas, common, raw        9139        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Grapes, red or green (Eur  9132        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Grapefruit, raw, pink and  9111        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Goji berries, dried        9110        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Gooseberries, raw          9107        13.5826621  0.000000    0.000000    2.315226    4.190045    0.000000    2.263777    0.219947    0.000000    13.273965   0.000000    1.901246    0.000000    0.000000    0.000000    2.315226    0.040265    0.000000    0.000000    2.685663    0.000000    4.358073    28.503010   0.000000    2.284357    0.000000    
Figs, dried, uncooked      9094        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Figs, raw                  9089        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Couscous, cooked           20029       54.9393891  0.000000    0.000000    2.996694    38.657351   0.000000    23.307619   0.678938    0.000000    17.480714   24.822012   9.426686    34.917089   27.830741   8.669889    7.491735    0.814319    22.565466   44.228313   0.000000    0.000000    11.237602   0.000000    0.000000    3.246418    0.312156    
Crabapples, raw            9077        55.2477475  0.000000    0.000000    6.780405    33.399774   0.000000    15.904654   1.130068    0.000000    0.000000    1.945039    8.980669    3.821831    2.701443    2.985805    6.592061    0.163778    3.176897    3.630739    1.506757    0.000000    0.000000    33.483482   0.000000    0.000000    0.000000    
Cherries, sweet, raw       9070        62.4804746  0.000000    0.000000    5.538042    30.312496   0.000000    14.910113   1.011758    0.000000    29.820226   5.499181    10.156368   5.402704    3.666121    4.322163    11.715089   0.000000    5.645826    9.238624    2.726421    0.000000    12.278916   33.133584   0.000000    1.988015    7.455056    
Carissa, (natal-plum), ra  9061        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Carambola, (starfruit), r  9060        6.74042208  0.000000    0.000000    0.137872    1.374638    0.000000    0.791489    0.054574    0.000000    4.289359    0.316402    0.243483    1.282262    1.015124    1.121979    1.148936    0.039963    1.218149    0.885926    0.280340    0.000000    0.459574    17.565948   0.000000    0.459574    0.000000    
Blueberries, raw           9050        19.6745268  0.000000    0.000000    0.804867    8.638906    0.000000    4.247909    0.234753    0.000000    10.731560   1.269870    2.487448    1.956451    1.693161    0.552910    2.012167    0.058324    1.616199    0.969719    0.724380    0.000000    4.103243    14.457796   0.000000    5.097491    21.574907   
Blackberries, raw          9042        10.1817550  0.000000    0.000000    2.013211    2.965050    0.000000    1.658392    0.060743    0.000000    12.264386   0.000000    2.850401    0.000000    0.000000    0.000000    3.471053    0.030183    0.000000    0.000000    1.485611    0.000000    1.225077    16.198246   0.000000    5.414842    11.454474   
Avocados, raw, all commer  9037        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
